b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'122590624',b'33.7066302',b'-117.8544046',b'Fluffy89502',b'10165657',b'6',b'77976722',b'2019-12-05T07:45:14Z'
b'122591249',b'33.6172095',b'-117.8013708',b'Adam Schneider',b'5403394',b'8',b'66519597',b'2019-01-21T22:17:50Z'
b'122592321',b'33.6947765',b'-117.7891124',b'ponzu',b'101657',b'4',b'7987927',b'2011-04-27T18:39:08Z'
b'122593187',b'33.7300852',b'-117.7676897',b'SJFriedl',b'2709708',b'7',b'30828582',b'2015-05-06T03:06:19Z'
b'122595714',b'33.7275744',b'-117.7898233',b'SJFriedl',b'2709708',b'6',b'42610945',b'2016-10-03T17:24:46Z'
b'122596076',b'33.7271680',b'-117.8155067',b'SJFriedl',b'2709708',b'4',b'42051626',b'2016-09-10T02:04:16Z'
b'122597782',b'33.6550106',b'-117.7597176',b'Baloo Uriza',b'92286',b'6',b'78287394',b'2019-12-12T02:49:34Z'
b'122598255',b'33.6435670',b'-117.8015263',b'techlady',b'104962',b'5',b'5200933',b'2010-07-12T17:58:32Z'
b'122601380',b'33.6310238',b'-117.8822009',b'Aaron Lidman',b'53073',b'5',b'15508931',b'2013-03-26T21:29:20Z'
b'122601429',b'33.6648713',b'-117.7875454',b'SJFriedl',b'2709708',b'7',b'37066122',b'2016-02-07T19:15:11Z'
b'122601629',b'33.7102657',b'-117.7835601',b'AM909',b'82317',b'4',b'4676650',b'2010-05-12T12:08:13Z'
b'122601986',b'33.7231820',b'-117.7563944',b'ponzu',b'101657',b'8',b'7721769',b'2011-03-30T23:58:32Z'
b'122602600',b'33.6527041',b'-117.7610403',b'Baloo Uriza',b'92286',b'8',b'81197037',b'2020-02-19T03:14:42Z'
b'122603210',b'33.6776939',b'-117.7951084',b'jumbanho',b'38487',b'5',b'12408944',b'2012-07-21T12:42:44Z'
b'122603391',b'33.6685220',b'-117.7528654',b'Fluffy89502',b'10165657',b'7',b'81190749',b'2020-02-18T22:25:51Z'
b'122604202',b'33.7259531',b'-117.7999195',b'The Temecula Mapper',b'313196',b'5',b'12494892',b'2012-07-26T07:07:26Z'
b'122604888',b'33.6762812',b'-117.8410376',b'Baloo Uriza',b'92286',b'6',b'78287394',b'2019-12-12T03:49:55Z'
b'122606464',b'33.6558037',b'-117.8635883',b'ponzu',b'101657',b'4',b'7799341',b'2011-04-07T22:27:08Z'
b'122608439',b'33.6726686',b'-117.8060482',b'SJFriedl',b'2709708',b'4',b'34051009',b'2015-09-15T22:34:45Z'
b'122608839',b'33.6860786',b'-117.8221328',b'gohimans',b'10145709',b'6',b'80344235',b'2020-01-31T03:03:26Z'
b'122610150',b'33.6795807',b'-117.7587372',b'Fluffy89502',b'10165657',b'6',b'81637198',b'2020-03-01T08:08:10Z'
b'122610318',b'33.6253112',b'-117.7990336',b'techlady',b'104962',b'4',b'5200417',b'2010-07-12T16:27:08Z'
b'122610858',b'33.6519351',b'-117.7595745',b'Baloo Uriza',b'92286',b'8',b'78287394',b'2019-12-12T02:49:34Z'
b'122611007',b'33.7135021',b'-117.7358868',b'Fluffy89502',b'10165657',b'4',b'76622151',b'2019-11-05T04:19:45Z'
b'122611029',b'33.7096068',b'-117.7327862',b'Fluffy89502',b'10165657',b'5',b'76622151',b'2019-11-05T04:19:45Z'
b'122611236',b'33.6701582',b'-117.8613048',b'AdrenalinJunki3',b'5185261',b'6',b'58881361',b'2018-05-11T14:55:25Z'
b'122612461',b'33.6682595',b'-117.8270752',b'SJFriedl',b'2709708',b'7',b'36232528',b'2015-12-29T01:20:16Z'
b'122613737',b'33.5278660',b'-117.6396000',b'AM909',b'82317',b'3',b'5088388',b'2010-06-27T10:49:19Z'
b'122614383',b'33.6436651',b'-117.8307795',b'Aaron Lidman',b'53073',b'6',b'13433010',b'2012-10-09T20:43:39Z'
b'122614740',b'33.7276243',b'-117.7872692',b'Grayfox88',b'6869539',b'6',b'53439391',b'2017-11-02T02:41:41Z'
b'122615481',b'33.6694628',b'-117.7541729',b'Fluffy89502',b'10165657',b'7',b'81637198',b'2020-03-01T08:08:10Z'
b'122616555',b'33.6840795',b'-117.8536350',b'Fluffy89502',b'10165657',b'10',b'89544704',b'2020-08-18T03:07:57Z'
b'122616807',b'33.7207702',b'-117.7940911',b'Fluffy89502',b'10165657',b'11',b'77976722',b'2019-12-05T07:45:14Z'
b'122617556',b'33.6511277',b'-117.8148070',b'Evanator',b'451067',b'5',b'12425582',b'2012-07-22T05:03:20Z'
b'122618424',b'33.6636560',b'-117.7931786',b'Baloo Uriza',b'92286',b'9',b'78287394',b'2019-12-12T03:12:55Z'
b'122618999',b'33.7053690',b'-117.8696411',b'ivansanchez',b'5265',b'5',b'13679530',b'2012-10-29T21:25:18Z'
b'122619246',b'33.6852331',b'-117.8195458',b'vbbukka',b'10159579',b'8',b'79110336',b'2020-01-02T11:18:48Z'
b'122620955',b'33.6865543',b'-117.7894322',b'SJFriedl',b'2709708',b'6',b'37049520',b'2016-02-06T21:21:31Z'
b'122621189',b'33.6295031',b'-117.7362082',b'Luis36995',b'1829683',b'4',b'46664947',b'2017-03-07T22:05:56Z'
b'122621217',b'33.6292445',b'-117.7392940',b'Luis36995',b'1829683',b'4',b'46664947',b'2017-03-07T22:05:56Z'
b'122621831',b'33.7053062',b'-117.7748619',b'Sundance',b'239998',b'4',b'5020429',b'2010-06-19T00:15:29Z'
b'122622355',b'33.7226672',b'-117.7551012',b'SJFriedl',b'2709708',b'6',b'35954978',b'2015-12-14T21:20:34Z'
b'122623001',b'33.7242302',b'-117.8380003',b'SJFriedl',b'2709708',b'6',b'50657018',b'2017-07-28T19:19:04Z'
b'122623386',b'33.7146842',b'-117.7551939',b'ponzu',b'101657',b'4',b'7866709',b'2011-04-15T05:54:11Z'
b'122624686',b'33.6381658',b'-117.8054665',b'Sergei Mutovkin',b'141070',b'8',b'87524913',b'2020-07-04T08:04:47Z'
